"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-10-27 00:00:00",0,0,0,0,0,50921.142857142855,
"2019-10-28 00:00:00",55443,0,0,5548,0,56008.71428571428,
"2019-10-29 00:00:00",30544,15667,0,0,11756,61774.28571428572,
"2019-10-30 00:00:00",15519,4345,0,4047,236,59117,
"2019-10-31 00:00:00",39283,8289,0,0,0,43440.71428571428,
"2019-11-01 00:00:00",37043,0,0,0,10493,45033.857142857145,
"2019-11-02 00:00:00",21044,0,0,0,1764,37289.857142857145,
"2019-11-03 00:00:00",94443,11992,0,2731,45019,59316.57142857143,
"2019-11-04 00:00:00",86159,0,8343,582,50065,71339.28571428571,
"2019-11-05 00:00:00",46800,0,1370,0,0,69939.57142857143,
"2019-11-06 00:00:00",196057,0,0,0,0,94497.85714285714,
"2019-11-07 00:00:00",24839,15185,0,4732,0,94095.57142857143,
"2019-11-08 00:00:00",79690,31804,0,0,39237,108837.71428571429,
"2019-11-09 00:00:00",0,0,0,0,526,105654.42857142857,
"2019-11-10 00:00:00",38999,0,0,0,0,89199,
"2019-11-11 00:00:00",29331,4630,0,2898,0,73728.85714285714,
"2019-11-12 00:00:00",142578,0,0,0,0,87215.57142857143,
"2019-11-13 00:00:00",20117,23514,0,0,0,65440.42857142857,
"2019-11-14 00:00:00",34668,0,0,0,7295,65041.28571428572,
"2019-11-15 00:00:00",6589,41292,0,0,0,50348.28571428572,
"2019-11-16 00:00:00",40916,0,0,511,44700,62577.142857142855,
"2019-11-17 00:00:00",29353,0,0,0,37661,66579.42857142857,
"2019-11-18 00:00:00",25925,0,0,4570,12690,67483.14285714286,
"2019-11-19 00:00:00",34784,4345,0,0,0,52704.71428571428,
"2019-11-20 00:00:00",0,12628,3431,0,41539,54700.142857142855,
"2019-11-21 00:00:00",58117,9391,0,0,0,58349.57142857143,
"2019-11-22 00:00:00",17698,4630,908,0,0,54829.142857142855,
"2019-11-23 00:00:00",25305,22685,0,0,13007,51239,
"2019-11-24 00:00:00",11589,0,0,0,8925,44596.142857142855,
"2019-11-25 00:00:00",50980,18468,0,1038,0,48496.28571428572,
"2019-11-26 00:00:00",0,0,0,0,0,42906.42857142857,
"2019-11-27 00:00:00",68290,0,3936,2327,0,45328.57142857143,
"2019-11-28 00:00:00",0,0,3034,0,2874,36528.57142857143,
"2019-11-29 00:00:00",84716,4630,0,2213,0,46289,
"2019-11-30 00:00:00",59757,0,0,557,37726,51581,
"2019-12-01 00:00:00",28215,0,0,0,32965,57390.42857142857,
"2019-12-02 00:00:00",72109,62307,0,3722,7123,68072.57142857143,
"2019-12-03 00:00:00",74485,0,0,2324,0,79045.42857142857,
"2019-12-04 00:00:00",41691,3785,0,0,0,74891.42857142857,
"2019-12-05 00:00:00",125073,0,0,2446,126259,110301.42857142857,
"2019-12-06 00:00:00",28222,4916,0,0,0,101955.28571428571,
"2019-12-07 00:00:00",0,0,0,0,0,87949.42857142857,
"2019-12-08 00:00:00",6484,0,0,0,0,80135.57142857143,
"2019-12-09 00:00:00",30262,4916,0,2327,0,64741.857142857145,
"2019-12-10 00:00:00",17856,11533,0,1227,76165,69023.57142857143,
"2019-12-11 00:00:00",35712,11824,0,0,0,69318,
"2019-12-12 00:00:00",35712,0,0,1227,10347,39819.142857142855,
"2019-12-13 00:00:00",35712,23388,0,2454,0,43878.71428571428,
"2019-12-14 00:00:00",53569,11533,0,2509,0,53537.42857142857,
"2019-12-15 00:00:00",35712,0,0,2454,0,58063.57142857143,
"2019-12-16 00:00:00",17856,11824,0,1115,0,57105,
"2019-12-17 00:00:00",38354,0,2603,0,0,47701.42857142857,
"2019-12-18 00:00:00",17856,23066,0,0,0,46756.57142857143,
"2019-12-19 00:00:00",0,0,0,0,1568,40225.28571428572,
"2019-12-20 00:00:00",53569,0,0,0,0,39084.42857142857,
"2019-12-21 00:00:00",17856,0,0,0,0,31976.571428571428,
"2019-12-22 00:00:00",85291,0,0,2153,10347,40494.42857142857,
"2019-12-23 00:00:00",53569,0,0,1115,10347,45385.28571428572,
"2019-12-24 00:00:00",17856,0,0,0,10347,43563.28571428572,
"2019-12-25 00:00:00",53569,0,0,0,122463,62864.57142857143,
"2019-12-26 00:00:00",28145,11533,0,0,1610,68539,
"2019-12-27 00:00:00",35712,0,4112,6048,0,67439.57142857143,
"2019-12-28 00:00:00",90194,0,0,2754,15922,80441.71428571429,
"2019-12-29 00:00:00",22967,0,0,1227,10347,71405.85714285714,
"2019-12-30 00:00:00",17856,11533,0,1785,10347,68047.28571428571,
"2019-12-31 00:00:00",25821,0,0,0,0,67707,
"2020-01-01 00:00:00",17210,0,0,0,0,45018.142857142855,
"2020-01-02 00:00:00",105447,0,0,0,0,54183.57142857143,
"2020-01-03 00:00:00",9122,0,0,0,0,48933.42857142857,
"2020-01-04 00:00:00",92076,25603,0,0,0,50191.71428571428,
"2020-01-05 00:00:00",51568,0,0,0,949,52759.857142857145,
"2020-01-06 00:00:00",20461,0,0,1167,42942,56052.57142857143,
"2020-01-07 00:00:00",159457,0,0,9370,5219,77227.71428571429,60051.857142857145
"2020-01-08 00:00:00",20848,0,2603,0,0,78119.28571428571,52075.42857142857
"2020-01-09 00:00:00",53399,0,1292,1029,0,71015.42857142857,63756.71428571428
"2020-01-10 00:00:00",25478,0,0,0,2493,73708.28571428571,50889
"2020-01-11 00:00:00",6901,0,0,7441,0,58945.857142857145,70941.28571428571
"2020-01-12 00:00:00",12176,0,0,3079,44010,59910,62676.28571428572
"2020-01-13 00:00:00",56741,0,0,2321,7913,60253.57142857143,72971.85714285714
"2020-01-14 00:00:00",48463,0,0,2272,33484,47421.28571428572,74888.57142857143
"2020-01-15 00:00:00",122593,31657,2882,1227,7493,67764.57142857143,65280.71428571428
"2020-01-16 00:00:00",4329,27491,0,9423,0,65696.57142857143,58164.857142857145
"2020-01-17 00:00:00",16621,25120,0,0,950,67799.28571428571,56002
"2020-01-18 00:00:00",12882,0,0,0,0,67590.71428571429,54462.71428571428
"2020-01-19 00:00:00",22647,0,0,0,11753,64038.42857142857,56001.142857142855
"2020-01-20 00:00:00",49867,21067,0,557,353,64734.28571428572,66625.57142857143
"2020-01-21 00:00:00",0,0,0,0,57253,60881.71428571428,69977.71428571429
"2020-01-22 00:00:00",33126,22685,0,0,0,45161.28571428572,69198.71428571429
"2020-01-23 00:00:00",0,0,0,0,0,39269.28571428572,69030.28571428571
"2020-01-24 00:00:00",0,0,0,0,0,33170.57142857143,71294.42857142857
"2020-01-25 00:00:00",55055,0,0,0,0,39195.28571428572,59468.142857142855
"2020-01-26 00:00:00",0,4630,0,0,13421,36859.57142857143,70178.71428571429
"2020-01-27 00:00:00",17610,0,0,0,0,29111.428571428572,57516.42857142857
"2020-01-28 00:00:00",94927,0,0,0,57253,42672.57142857143,53590
"2020-01-29 00:00:00",55446,11824,0,1646,0,44544.857142857145,52801
"2020-01-30 00:00:00",39865,11824,0,0,8551,53150.71428571428,65030.42857142857
