date,postcode,fuel,pc_median,st_median,spread,n_stations
2026-05-31,3130,ulp95,202.4,196.9,5.5,6
2026-05-31,3130,diesel,221.1,221.3,-0.2,6
2026-05-31,3131,ulp91,183.7,179.9,3.8,5
2026-05-31,3131,ulp95,201.2,196.9,4.3,5
2026-05-31,3131,diesel,221.1,221.3,-0.2,5
2026-05-31,3132,ulp91,179.9,179.9,0.0,3
2026-05-31,3132,ulp95,192.9,196.9,-4.0,3
2026-05-31,3132,diesel,214.9,221.3,-6.4,3
2026-05-31,3133,ulp91,185.9,179.9,6.0,5
2026-05-31,3133,ulp95,201.2,196.9,4.3,5
2026-05-31,3133,diesel,221.1,221.3,-0.2,5
2026-05-31,3134,ulp91,183.7,179.9,3.8,8
2026-05-31,3134,ulp95,201.2,196.9,4.3,8
2026-05-31,3134,diesel,221.5,221.3,0.2,8
2026-05-31,3135,ulp91,179.7,179.9,-0.2,3
2026-05-31,3135,ulp95,201.2,196.9,4.3,3
2026-05-31,3135,diesel,223.3,221.3,2.0,3
2026-05-31,3136,ulp91,181.9,179.9,2.0,6
2026-05-31,3136,ulp95,198.9,196.9,2.0,6
2026-05-31,3136,diesel,219.5,221.3,-1.8,6
2026-05-31,3137,ulp91,179.9,179.9,0.0,5
2026-05-31,3137,ulp95,196.9,196.9,0.0,5
2026-05-31,3137,diesel,222.9,221.3,1.6,5
2026-05-31,3138,ulp91,178.9,179.9,-1.0,3
2026-05-31,3138,ulp95,195.9,196.9,-1.0,3
2026-05-31,3138,diesel,220.5,221.3,-0.8,3
2026-05-31,3139,ulp91,181.4,179.9,1.5,6
2026-05-31,3139,ulp95,199.9,196.9,3.0,6
2026-05-31,3139,diesel,217.9,221.3,-3.4,6
2026-05-31,3140,ulp91,183.8,179.9,3.9,6
2026-05-31,3140,ulp95,195.2,196.9,-1.7,6
2026-05-31,3140,diesel,220.5,221.3,-0.8,6
2026-05-31,3141,ulp91,181.3,179.9,1.4,2
2026-05-31,3141,diesel,219.5,221.3,-1.8,2
2026-05-31,3144,ulp91,183.7,179.9,3.8,3
2026-05-31,3144,ulp95,198.7,196.9,1.8,3
2026-05-31,3144,diesel,223.3,221.3,2.0,3
2026-05-31,3145,ulp91,182.9,179.9,3.0,3
