postcode,suburb_name,zone,petrol_vehicles,diesel_vehicles,total_vehicles,ev_penetration_pct,diesel_fraction_pct,fleet_type,forecast_date,week_end,run_date,ulp91_current_cpl,ulp91_forecast_cpl,ulp91_change_cpl,ulp91_spread_cpl,ulp91_spread_source,ulp95_current_cpl,ulp95_forecast_cpl,ulp95_change_cpl,ulp95_spread_cpl,ulp95_spread_source,diesel_current_cpl,diesel_forecast_cpl,diesel_change_cpl,diesel_spread_cpl,diesel_spread_source
3352,Ballarat North,middle_metro,13259,11310,24893,0.6,46.0,diesel_heavy,2026-05-08,2026-05-14,2026-05-03,181.9,172.9,-9.0,1.0,live,196.6,189.6,-7.0,0.7,live,249.0,253.9,4.9,-4.5,live
3169,Clayton South,inner_metro,13148,2761,16275,1.7,17.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,195.8,188.8,-7.0,-0.1,live,261.8,266.7,4.9,8.3,live
3128,Mont Albert,inner_metro,13014,2402,15915,2.9,15.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,187.7,180.7,-7.0,-8.2,live,303.0,307.9,4.9,49.5,live
3124,Camberwell,inner_metro,12896,2608,16324,4.9,16.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.7,188.7,-7.0,-0.2,live,255.5,260.4,4.9,2.0,zone_model
3677,Wangaratta,regional_vic,12857,6684,19743,0.4,34.2,mixed,2026-05-08,2026-05-14,2026-05-03,180.8,171.8,-9.0,-0.1,live,197.2,190.2,-7.0,1.3,live,247.0,251.9,4.9,-6.5,live
3220,Geelong West,middle_metro,12761,6175,19583,2.6,32.6,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,196.6,189.6,-7.0,0.7,live,253.0,257.9,4.9,-0.5,live
3070,Northcote,inner_metro,12759,2330,15673,3.4,15.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,194.3,187.3,-7.0,-1.6,live,255.5,260.4,4.9,2.0,zone_model
3042,Airport West,inner_metro,12737,4476,17602,1.6,26.0,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.8,188.8,-7.0,-0.1,live,248.6,253.5,4.9,-4.9,live
3145,Malvern East,inner_metro,12642,2597,15846,3.6,17.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.1,171.1,-9.0,-0.8,live,194.9,187.9,-7.0,-1.0,live,252.8,257.7,4.9,-0.7,live
3564,Echuca,regional_vic,12609,9733,22541,0.3,43.6,diesel_heavy,2026-05-08,2026-05-14,2026-05-03,179.7,170.7,-9.0,-1.2,live,197.2,190.2,-7.0,1.3,live,255.0,259.9,4.9,1.5,live
